,rank,username,article_link,date,views,creator_club_status,article_cat
0,1,Sion,https://www.analyticsvidhya.com/blog/2021/07/automl-using-pycaret-with-a-regression-use-case/,2021-07-08,39328,1,"Automl,Beginner,Libraries,Machine Learning,Project,Python,Regression"
1,2,barney6,https://www.analyticsvidhya.com/blog/2021/08/covid-19-a-medical-diagnosis-using-deep-learning/,2021-08-01,35928,1,"Advanced,Computer Vision,Deep Learning,Healthcare,Image,Image Analysis,Project,Python,Structured Data,Supervised,Use Cases"
2,3,gaurav_here,https://www.analyticsvidhya.com/blog/2021/07/3-interesting-python-projects-with-code-for-beginners/,2021-07-18,35502,1,"Beginner,Programming,Project,Python"
3,4,shanthababu,https://www.analyticsvidhya.com/blog/2021/08/effective-data-visualization-techniques-in-data-science-using-python/,2021-08-01,30821,1,"Beginner,Data Visualization,Libraries,Python,Structured Data"
4,5,akashsky1313@gmail.com,https://www.analyticsvidhya.com/blog/2021/07/python-args-and-kwargs-in-2-minutes/,2021-07-10,29542,1,"Beginner,Programming,Python"
5,6,barney6,https://www.analyticsvidhya.com/blog/2021/07/introduction-to-linear-predictive-models-part-2/,2021-07-30,21624,1,"Intermediate,Machine Learning,Python,Regression,Structured Data,Supervised"
6,7,Arnab1408,https://www.analyticsvidhya.com/blog/2021/08/5-ways-for-data-scientists-to-code-efficiently-in-python/,2021-08-06,17523,1,"Beginner,Programming,Python"
7,8,fasih,https://www.analyticsvidhya.com/blog/2021/07/stock-prices-analysis-with-python/,2021-07-11,17307,1,"Beginner,Data Visualization,Datetime,Python,Time Series"
8,9,rahul105,https://www.analyticsvidhya.com/blog/2021/08/performance-comparision-of-regularized-and-unregularized-regression-models/,2021-08-03,16422,1,"Intermediate,Machine Learning,Python,Regression,Structured Data,Supervised"
9,10,chirag676,https://www.analyticsvidhya.com/blog/2021/07/all-fundamentals-of-python-functions-that-you-should-know-a-quick-brush-up/,2021-07-06,15820,1,"Beginner,Programming,Python"
10,11,rahul105,https://www.analyticsvidhya.com/blog/2021/07/cyberpunk-themed-charts-advanced-data-visualization-in-python/,2021-07-26,15365,1,"Advanced,Data Visualization,Libraries,Pandas,Python"
11,12,Sion,https://www.analyticsvidhya.com/blog/2021/07/automl-using-pycaret-with-a-regression-use-case-ii/,2021-07-12,15278,1,"Automl,Beginner,Libraries,Machine Learning,Project,Python,Regression"
12,13,nilabhnishchhal,https://www.analyticsvidhya.com/blog/2021/07/pandasql-best-way-to-run-sql-queries-and-codes-in-jupyter-notebook-using-python/,2021-07-13,15102,1,"Beginner,Data Engineering,Libraries,Python,SQL"
13,14,rahul105,https://www.analyticsvidhya.com/blog/2021/07/prevent-overfitting-using-regularization-techniques/,2021-07-31,15099,1,"Intermediate,Machine Learning,Project,Python,Regression,Structured Data,Supervised"
14,15,rahul105,https://www.analyticsvidhya.com/blog/2021/07/using-seaborns-facetgrid-based-methods-for-exploratory-data-analysis/,2021-07-28,15095,1,"Beginner,Data Visualization,Libraries,Project,Python,Structured Data"
15,16,pritha03,https://www.analyticsvidhya.com/blog/2021/07/getting-started-with-natural-language-processing-using-python/,2021-07-27,14554,0,"Advanced,NLP,Project,Python,Supervised,Text,Unstructured Data"
16,17,rahul105,https://www.analyticsvidhya.com/blog/2021/08/exploring-matplotlib-stylesheets-for-data-visualization/,2021-08-09,14506,1,"Beginner,Data Visualization,Libraries,Pandas,Programming,Python,Structured Data"
17,18,sruthi94,https://www.analyticsvidhya.com/blog/2021/08/8-essential-charts-you-must-know-to-excel-in-the-art-of-data-visualization/,2021-08-05,12847,0,"Beginner,Data Exploration,Data Visualization,Python,Structured Data"
18,19,premanand17,https://www.analyticsvidhya.com/blog/2021/07/convolution-neural-network-better-understanding/,2021-07-16,11914,1,"Beginner,Computer Vision,Deep Learning,python"
19,20,Hardikkumar,https://www.analyticsvidhya.com/blog/2021/07/python-most-powerful-functions-map-filter-and-reduce-in-5-minutes/,2021-07-16,11803,1,"Beginner,Programming,Python"
20,21,harikabonthu96,https://www.analyticsvidhya.com/blog/2021/08/a-guide-to-complete-statistics-for-data-science-beginners/,2021-08-01,11518,1,"Beginner,Data Science,Statistics,Structured Data"
21,22,chirag676,https://www.analyticsvidhya.com/blog/2021/07/everything-you-should-know-about-built-in-data-structures-in-python-a-beginners-guide/,2021-07-22,11089,1,"Beginner,Programming,Python"
22,23,mukul_kirti,https://www.analyticsvidhya.com/blog/2021/07/deepdive-into-the-emerging-concpet-of-machine-learning-operations-or-mlops/,2021-07-28,10818,0,"Beginner,MLops"
23,24,kajal56,https://www.analyticsvidhya.com/blog/2021/07/car-price-prediction-machine-learning-vs-deep-learning/,2021-07-25,10672,1,"Data Science,Deep Learning,Intermediate,Linear Regression,Machine Learning,Project,Python,Structured Data"
24,25,Siddharth1698,https://www.analyticsvidhya.com/blog/2021/07/understanding-natural-language-processing-a-beginners-guide/,2021-07-14,10333,1,"Beginner,Data Science,Machine Learning,NLP,Unstructured Data"
25,26,agrawal@71,https://www.analyticsvidhya.com/blog/2021/08/intermediate-statistical-concepts-for-data-science/,2021-08-02,9932,1,"Beginner,Data Science,Python,Statistics"
26,27,vishwanathk,https://www.analyticsvidhya.com/blog/2021/07/learn-data-scraping-using-python-and-selenium/,2021-07-09,9809,0,"Advanced,Data Mining,Programming,Python"
27,28,kajal56,https://www.analyticsvidhya.com/blog/2021/07/detecting-fake-news-with-natural-language-processing/,2021-07-19,9409,1,"Beginner,Classification,Machine Learning,NLP,Project,Python"
28,29,Gargeya,https://www.analyticsvidhya.com/blog/2021/07/top-3-ways-to-write-your-tensorflow-code/,2021-07-22,9216,1,"Deep Learning,Intermediate,Libraries,Programming,Python"
29,30,chirag676,https://www.analyticsvidhya.com/blog/2021/07/an-intuitive-and-easy-guide-to-python-set-must-for-becoming-data-science-professional/,2021-07-11,9045,1,"Beginner,Programming,Python"
30,31,Siddharth1698,https://www.analyticsvidhya.com/blog/2021/07/nltk-a-beginners-hands-on-guide-to-natural-language-processing/,2021-07-17,8804,1,"Beginner,Data Science,Libraries,Machine Learning,NLP,Python,Text"
31,32,shivani46,https://www.analyticsvidhya.com/blog/2021/07/speech-to-text-conversion-an-application-of-nlp/,2021-07-17,8679,1,"Advanced,Audio Processing,Machine Learning,Project,Python,Text"
32,33,nimit2,https://www.analyticsvidhya.com/blog/2021/08/how-to-perform-exploratory-data-analysis-a-guide-for-beginners/,2021-08-12,8556,0,"Beginner,Data Exploration,Data Science,Python,Statistics,Structured Data"
33,34,neelutiwari,https://www.analyticsvidhya.com/blog/2021/07/how-to-perform-data-visualization-with-pandas/,2021-07-10,8392,1,"Beginner,Data Exploration,Data Visualization,Pandas,Python,Structured Data"
34,35,chirag676,https://www.analyticsvidhya.com/blog/2021/07/15-python-built-in-functions-which-you-should-know-while-learning-data-science/,2021-07-08,8371,1,"Beginner,Programming,Python"
35,36,prateekmaj21,https://www.analyticsvidhya.com/blog/2021/08/basic-financial-calculations-using-python/,2021-08-06,8350,1,"Beginner,Programming,Python"
36,37,harikabonthu96,https://www.analyticsvidhya.com/blog/2021/07/hypothesis-testing-made-easy-for-the-data-science-beginners/,2021-07-25,8319,1,"Beginner,Data Exploration,Data Science,Pandas,Python,Statistics"
37,38,devashreesm,https://www.analyticsvidhya.com/blog/2021/08/better-eda-with-3-easy-python-libraries-for-any-beginner/,2021-08-14,8049,0,"Beginner,Data Exploration,Data Visualization,Libraries,Python,Structured Data"
